x,y,type,size
228.78,252.01,fishing_ground,11
261.26,270.58,fishing_ground,17
276.12,219.09,ice_hole,16
253.91,254.19,ice_hole,2
243.02,212.19,island,4
215.63,283.89,danger,7
251.62,230.94,ice_hole,2
309.44,301.32,abyss,6
218.12,237.38,corals,17
328.41,260.03,danger,7
241.32,228.54,corals,5
209.11,260.11,corals,5
229.57,236.83,strong_current,16
289.96,317.75,strong_current,19
278.93,226.95,strong_current,9
277.21,260.02,corals,5
270.0,234.71,rocks,8
238.03,289.41,island,9
223.72,203.5,ice_hole,5
227.67,276.9,rocks,10
225.39,215.37,corals,2
277.77,279.49,corals,9
242.3,221.44,danger,11
279.79,221.5,danger,4
218.89,238.53,danger,2
243.95,276.73,fishing_ground,6
242.4,218.53,danger,14
249.39,256.91,island,1
264.95,203.0,kelp_forest,18
248.73,286.3,kelp_forest,7
228.5,247.11,strong_current,1
269.84,253.27,strong_current,1
230.88,217.57,corals,1
236.03,270.48,danger,4
216.72,273.99,rocks,4
271.75,283.41,danger,18
211.76,208.23,island,11
288.85,279.12,ice_hole,1
225.59,198.91,fishing_ground,10
272.76,288.07,ice_hole,9
227.11,259.91,kelp_forest,4
241.59,308.02,rocks,6
245.08,240.31,island,16
280.85,263.05,abyss,2
235.49,198.8,rocks,18
258.06,247.27,fishing_ground,10
256.99,168.08,island,17
275.85,289.86,fishing_ground,13
240.4,221.69,island,18
249.77,294.72,fishing_ground,13
243.21,251.68,fishing_ground,17
254.43,279.12,kelp_forest,5
248.2,225.49,island,11
234.05,268.46,strong_current,7
247.9,215.13,kelp_forest,10
243.12,292.75,ice_hole,17
260.82,217.98,fishing_ground,15
243.6,272.51,corals,18
230.32,220.52,abyss,19
265.28,296.94,abyss,2
244.06,206.63,strong_current,4
300.94,278.63,rocks,3
212.13,224.62,fishing_ground,7
257.62,303.36,island,18
267.05,214.53,ice_hole,10
243.55,266.9,abyss,7
227.45,209.2,strong_current,8
237.28,302.22,strong_current,6
214.29,258.08,kelp_forest,1
280.25,256.31,ice_hole,4
240.03,196.25,ice_hole,14
244.46,279.26,danger,17
205.58,219.36,strong_current,18
224.63,298.41,abyss,11
276.26,199.34,corals,14
257.9,262.82,danger,9
271.02,218.92,rocks,15
271.57,278.97,island,12
229.55,233.77,rocks,10
297.83,293.91,ice_hole,19
287.43,226.09,kelp_forest,19
239.1,282.87,danger,6
181.32,260.44,kelp_forest,6
242.43,269.14,abyss,8
255.63,226.25,danger,1
237.67,261.26,ice_hole,17
247.48,193.38,danger,17
231.94,274.46,abyss,15
270.2,244.98,fishing_ground,7
248.36,291.6,fishing_ground,19
271.49,201.96,abyss,3
269.8,294.08,island,11
212.38,213.59,rocks,19
230.87,277.85,kelp_forest,9
242.86,185.89,abyss,10
293.89,315.05,abyss,2
258.42,216.24,ice_hole,1
259.49,329.32,fishing_ground,16
220.61,229.82,rocks,18
245.92,298.7,corals,17
275.79,203.37,strong_current,6
258.71,267.73,fishing_ground,14
269.87,207.23,corals,15
241.76,267.5,kelp_forest,14
260.08,223.39,island,3
208.67,319.86,danger,19
242.79,205.93,kelp_forest,12
244.13,307.06,rocks,2
247.18,197.66,island,3
251.85,283.78,strong_current,18
270.33,195.12,island,1
263.66,249.62,strong_current,6
280.43,209.56,rocks,5
241.34,292.24,danger,1
277.37,230.03,ice_hole,19
254.95,304.85,abyss,1
254.83,225.05,rocks,16
229.08,271.95,fishing_ground,12
263.44,218.39,rocks,8
225.43,319.68,ice_hole,16
285.08,216.79,ice_hole,1
221.68,324.27,abyss,4
290.37,247.12,corals,10
225.57,285.4,fishing_ground,11
276.86,196.7,danger,17
234.47,276.33,island,7
251.06,181.56,strong_current,12
230.05,280.87,danger,7
276.23,231.83,danger,12
228.24,249.84,abyss,15
246.37,190.49,ice_hole,2
259.7,288.07,ice_hole,14
273.68,193.51,danger,13
212.87,280.69,strong_current,4
302.76,200.29,kelp_forest,14
237.72,285.57,danger,14
252.14,196.43,danger,16
206.34,275.37,corals,7
271.04,226.92,island,19
229.81,309.19,kelp_forest,2
287.46,184.88,corals,10
240.64,239.74,kelp_forest,18
286.95,229.48,kelp_forest,17
246.77,267.45,corals,5
280.47,214.21,fishing_ground,12
207.56,261.2,kelp_forest,6
279.15,234.03,rocks,9
219.03,335.27,island,1
233.72,214.1,danger,15
209.12,287.38,fishing_ground,6
286.94,205.26,ice_hole,19
210.57,302.86,island,18
270.71,221.55,kelp_forest,6
233.52,306.51,fishing_ground,13
266.93,200.41,island,1
228.87,294.26,danger,13
260.56,202.3,corals,7
264.41,268.92,strong_current,15
281.58,211.63,kelp_forest,12
208.29,271.0,danger,1
306.83,233.66,abyss,15
205.56,271.71,corals,4
313.36,219.63,danger,13
218.57,275.9,island,5
286.44,218.53,island,2
206.96,276.87,strong_current,1
310.93,191.85,abyss,16
213.99,294.22,corals,6
298.22,210.43,corals,16
218.43,290.2,abyss,14
293.96,207.55,strong_current,3
217.02,261.26,danger,15
290.55,234.69,danger,3
205.99,296.99,strong_current,2
274.02,206.29,fishing_ground,1
211.07,284.69,ice_hole,9
264.56,235.07,ice_hole,9
209.81,274.86,danger,7
290.75,212.2,fishing_ground,3
210.39,286.46,danger,18
278.37,210.13,ice_hole,11
166.0,296.45,kelp_forest,7
291.52,215.87,kelp_forest,9
183.74,267.24,danger,1
267.72,230.07,island,14
214.23,260.34,island,6
327.25,255.1,fishing_ground,7
186.2,306.72,ice_hole,10
299.2,229.87,strong_current,7
193.72,286.0,danger,2
290.1,228.38,ice_hole,4
209.5,269.39,fishing_ground,17
319.73,227.72,ice_hole,1
182.26,261.13,abyss,10
304.06,232.09,ice_hole,19
218.24,290.98,ice_hole,15
315.98,217.85,fishing_ground,10
209.66,265.08,strong_current,19
328.43,204.51,rocks,12
217.56,299.19,ice_hole,16
323.48,217.34,danger,9
196.06,270.04,danger,15
300.33,232.16,ice_hole,17
194.5,277.25,corals,14
298.62,240.67,island,18
158.86,265.07,corals,2
303.78,209.76,strong_current,4
197.12,248.3,danger,18
299.42,220.25,kelp_forest,7
187.03,253.42,kelp_forest,13
307.53,225.95,fishing_ground,15
212.29,290.39,corals,1
304.86,225.79,ice_hole,11
211.47,261.01,corals,10
266.23,232.93,rocks,5
210.52,259.46,corals,16
334.08,233.19,ice_hole,11
202.3,274.15,island,6
279.58,250.19,fishing_ground,9
203.49,280.69,abyss,13
312.99,270.8,rocks,8
143.82,272.28,abyss,14
336.04,274.84,abyss,1
209.1,248.77,rocks,17
283.63,273.58,danger,5
187.42,254.14,rocks,2
338.72,235.52,corals,9
204.19,257.22,rocks,4
330.18,237.82,strong_current,17
139.74,259.37,strong_current,17
328.98,233.14,fishing_ground,18
179.14,270.31,strong_current,16
333.89,234.89,danger,8
186.36,266.14,island,11
317.78,270.24,strong_current,18
192.11,248.26,fishing_ground,10
315.81,259.53,ice_hole,13
180.74,261.88,ice_hole,17
310.07,284.57,ice_hole,18
154.56,243.22,ice_hole,10
328.79,262.16,ice_hole,16
167.13,223.69,kelp_forest,5
316.76,242.59,fishing_ground,13
184.43,254.4,danger,18
286.72,274.52,abyss,17
149.34,227.5,danger,9
315.97,266.08,corals,14
186.34,244.86,rocks,17
333.12,230.36,ice_hole,4
153.12,247.37,island,18
331.69,283.68,rocks,15
174.44,225.06,island,11
307.65,255.95,fishing_ground,12
167.72,225.79,fishing_ground,9
334.85,251.7,island,13
182.2,262.92,ice_hole,15
323.08,256.33,fishing_ground,15
181.48,260.9,rocks,5
337.23,279.76,island,19
175.88,231.36,kelp_forest,14
323.53,255.68,rocks,17
195.27,221.42,kelp_forest,18
317.57,250.44,abyss,3
186.88,239.66,rocks,2
314.98,266.37,danger,1
170.48,222.74,strong_current,10
321.37,243.85,abyss,19
185.06,232.69,danger,17
341.79,262.39,fishing_ground,12
178.44,226.41,strong_current,1
299.6,276.07,corals,12
186.8,188.81,danger,17
361.36,248.93,kelp_forest,3
178.66,262.15,fishing_ground,11
296.4,266.55,danger,17
179.67,185.63,fishing_ground,3
322.88,253.49,danger,8
175.78,261.74,strong_current,4
337.46,266.7,corals,7
198.59,239.55,kelp_forest,14
333.22,281.05,danger,14
175.38,212.54,strong_current,4
339.83,292.72,island,16
154.64,181.73,island,1
311.25,260.21,abyss,17
168.58,209.28,rocks,10
321.53,263.37,abyss,16
185.9,206.34,abyss,16
318.64,298.62,danger,8
164.61,215.66,fishing_ground,7
336.26,307.46,danger,6
175.2,215.01,ice_hole,16
322.58,303.87,rocks,16
187.54,209.46,corals,7
321.22,281.41,ice_hole,9
180.24,231.27,corals,14
335.8,281.23,strong_current,11
182.32,212.43,corals,14
332.76,305.18,kelp_forest,7
188.73,218.32,kelp_forest,1
349.6,277.62,corals,13
187.2,219.85,ice_hole,3
328.27,282.06,kelp_forest,4
198.12,214.6,danger,11
319.06,306.38,danger,2
172.65,213.1,rocks,14
310.41,281.94,strong_current,12
175.89,208.04,strong_current,17
302.69,317.71,strong_current,12
188.22,200.56,abyss,12
306.81,290.93,rocks,1
187.08,209.77,corals,13
313.1,306.36,kelp_forest,14
184.31,169.76,corals,2
322.91,292.98,kelp_forest,12
177.7,185.22,strong_current,16
323.32,329.99,danger,4
209.59,211.03,strong_current,8
318.12,328.84,abyss,2
175.87,193.32,danger,10
303.18,324.26,rocks,9
184.6,171.67,ice_hole,15
302.6,312.48,strong_current,13
174.68,193.47,island,17
312.62,298.2,island,16
186.89,188.42,fishing_ground,2
312.16,339.92,abyss,14
208.34,192.0,fishing_ground,3
304.96,330.18,strong_current,12
174.95,146.86,corals,8
301.57,340.88,corals,2
204.32,178.25,island,4
316.03,308.69,danger,14
201.76,176.98,rocks,16
296.16,299.84,ice_hole,19
206.22,193.13,ice_hole,2
318.03,317.82,corals,12
186.61,166.07,strong_current,14
302.23,321.63,island,6
226.66,191.25,island,13
291.04,327.3,kelp_forest,4
174.71,153.8,corals,18
320.04,333.4,fishing_ground,12
216.44,159.34,fishing_ground,19
292.58,297.52,fishing_ground,8
199.98,192.42,island,7
280.41,335.92,strong_current,16
204.18,168.79,ice_hole,19
312.86,325.87,ice_hole,6
196.64,188.31,ice_hole,11
307.36,375.49,fishing_ground,5
212.21,173.65,strong_current,16
301.71,318.82,fishing_ground,7
200.33,163.94,abyss,5
287.19,340.54,corals,11
182.77,132.04,danger,15
282.76,340.39,rocks,3
226.3,169.78,island,5
276.22,355.36,island,5
200.76,179.52,ice_hole,9
296.51,339.59,abyss,15
218.75,182.38,abyss,3
295.6,367.35,kelp_forest,6
198.67,160.66,abyss,17
319.84,346.04,rocks,8
199.61,134.83,fishing_ground,11
284.94,321.37,kelp_forest,6
215.83,146.61,rocks,8
264.87,336.29,island,10
214.61,142.09,island,3
279.78,342.9,rocks,14
212.51,150.46,fishing_ground,14
290.54,358.98,danger,10
220.92,148.68,corals,12
257.76,314.2,fishing_ground,6
205.5,155.93,corals,12
282.46,346.04,strong_current,14
206.51,141.64,fishing_ground,2
276.72,348.4,danger,9
234.47,137.93,kelp_forest,10
257.19,352.41,danger,17
242.3,187.09,island,17
245.67,324.49,fishing_ground,3
236.14,143.9,strong_current,19
266.36,340.48,fishing_ground,1
232.44,144.27,fishing_ground,12
249.26,363.94,corals,7
223.43,156.59,corals,4
284.68,362.32,corals,10
254.04,149.06,ice_hole,13
271.03,334.1,corals,2
252.29,133.2,island,10
270.42,362.2,ice_hole,4
237.5,149.64,danger,18
257.85,369.56,corals,5
224.34,150.68,rocks,19
254.04,337.88,kelp_forest,2
261.35,139.4,strong_current,12
244.53,361.41,ice_hole,17
261.23,155.09,ice_hole,10
252.37,365.66,kelp_forest,2
231.74,131.6,corals,6
234.65,339.22,ice_hole,8
263.91,142.42,corals,19
254.24,374.05,corals,11
255.32,135.49,strong_current,12
241.4,361.56,kelp_forest,9
258.82,150.08,island,2
254.25,365.82,island,8
277.27,165.39,ice_hole,11
260.4,376.4,corals,4
265.12,135.97,ice_hole,10
236.4,329.5,corals,16
264.34,134.71,island,8
243.16,357.64,ice_hole,4
271.24,138.62,ice_hole,10
251.03,381.97,kelp_forest,12
293.78,143.37,corals,14
229.53,365.25,ice_hole,16
296.37,145.81,rocks,18
244.86,352.57,danger,12
269.84,118.6,abyss,18
246.77,355.99,danger,7
294.63,184.18,strong_current,7
219.78,341.24,island,9
297.34,120.2,ice_hole,1
236.92,381.25,danger,6
307.48,152.5,abyss,6
215.87,359.11,fishing_ground,12
275.49,160.39,island,12
193.62,346.19,abyss,10
289.27,142.18,ice_hole,6
221.44,368.29,rocks,17
277.34,170.02,island,19
213.52,341.59,ice_hole,18
270.3,159.92,rocks,6
227.17,360.54,island,19
282.74,146.37,fishing_ground,10
248.31,355.37,abyss,8
288.86,127.66,island,6
198.51,366.92,corals,7
288.18,135.54,fishing_ground,1
188.31,341.36,rocks,18
301.38,156.47,rocks,12
198.28,363.78,strong_current,16
311.51,147.11,rocks,10
197.85,366.75,kelp_forest,10
316.77,164.06,strong_current,14
208.19,368.9,ice_hole,10
302.47,140.9,ice_hole,10
215.91,364.65,ice_hole,11
315.86,150.53,abyss,2
230.14,372.52,corals,8
301.6,147.19,rocks,7
193.28,346.66,ice_hole,8
327.59,142.05,danger,1
171.65,352.45,danger,2
326.7,155.82,corals,18
193.23,355.16,rocks,15
302.5,155.25,danger,1
169.56,356.48,rocks,5
307.28,149.32,abyss,2
156.49,337.2,corals,3
311.63,141.53,abyss,19
188.85,358.14,corals,18
313.96,159.46,strong_current,18
195.73,323.68,ice_hole,14
341.28,167.86,danger,8
192.22,366.64,corals,12
326.56,147.62,corals,10
147.84,347.36,corals,17
317.72,151.61,danger,11
171.34,349.61,fishing_ground,2
317.62,144.73,abyss,4
169.29,340.23,rocks,1
348.84,170.96,fishing_ground,15
149.75,354.16,rocks,13
353.16,165.76,island,8
177.04,334.61,strong_current,4
337.31,143.75,ice_hole,10
156.55,328.46,kelp_forest,19
326.17,158.1,island,18
144.09,327.79,ice_hole,5
357.91,165.59,kelp_forest,19
178.39,330.46,abyss,16
324.12,168.32,corals,1
152.52,346.62,abyss,12
347.08,163.22,strong_current,2
153.48,315.66,fishing_ground,8
322.29,161.43,abyss,18
147.52,336.43,danger,16
368.04,178.64,strong_current,5
146.43,332.8,abyss,13
346.0,187.27,fishing_ground,19
138.34,324.47,island,3
356.3,197.33,corals,8
150.68,334.05,kelp_forest,12
343.21,147.74,fishing_ground,2
133.01,343.26,abyss,11
368.97,169.19,abyss,12
127.94,309.84,abyss,18
360.66,185.37,fishing_ground,13
120.17,300.25,ice_hole,5
364.63,173.68,abyss,12
153.08,334.89,island,2
370.57,189.41,island,5
138.9,324.73,corals,7
377.58,177.96,corals,12
164.36,296.95,danger,16
358.26,194.89,danger,8
132.48,322.03,strong_current,9
365.01,198.81,strong_current,15
130.63,312.12,corals,5
358.16,180.67,rocks,13
128.46,334.25,rocks,5
385.07,198.46,kelp_forest,11
141.14,303.8,rocks,10
362.76,193.55,kelp_forest,13
104.85,305.16,abyss,9
352.78,209.04,rocks,14
135.29,303.42,rocks,18
348.07,208.92,kelp_forest,15
131.63,300.8,danger,10
360.8,200.73,island,7
128.13,303.78,danger,8
374.19,210.61,abyss,3
127.12,292.87,fishing_ground,15
370.62,198.54,strong_current,16
120.05,295.98,abyss,4
368.43,209.63,kelp_forest,6
128.45,284.17,island,1
385.72,202.29,kelp_forest,4
109.36,291.97,rocks,11
377.86,219.31,kelp_forest,12
123.09,281.48,corals,5
381.44,209.9,island,16
121.68,274.16,strong_current,13
376.4,222.38,abyss,13
121.8,272.01,ice_hole,17
388.01,244.12,island,7
119.36,273.62,danger,8
387.8,198.33,fishing_ground,13
127.16,275.04,strong_current,16
364.46,225.16,danger,4
125.74,284.23,fishing_ground,8
387.89,231.42,rocks,16
103.82,261.71,island,10
393.41,228.13,abyss,12
110.33,270.99,fishing_ground,12
383.32,211.64,abyss,5
108.48,278.62,kelp_forest,16
389.78,227.86,island,1
104.99,276.72,abyss,9
396.5,242.9,kelp_forest,12
110.89,266.07,corals,5
384.36,253.17,rocks,3
119.24,262.8,island,5
385.4,251.04,kelp_forest,2
120.61,252.7,abyss,14
398.89,250.73,abyss,2
97.35,245.77,abyss,13
400.61,246.33,island,7
95.7,268.37,ice_hole,10
401.6,244.49,strong_current,13
129.85,247.65,corals,16
398.98,256.37,ice_hole,14
88.26,240.3,strong_current,11
401.11,263.09,rocks,10
131.21,246.35,fishing_ground,6
387.95,251.77,fishing_ground,4
108.64,238.76,fishing_ground,1
379.53,253.09,ice_hole,7
111.85,242.63,danger,9
403.56,268.16,fishing_ground,8
115.46,232.93,kelp_forest,5
421.69,275.65,abyss,19
108.97,226.65,ice_hole,10
375.66,280.91,danger,11
110.3,217.35,abyss,15
368.16,288.49,abyss,6
103.61,218.34,ice_hole,15
406.74,261.63,ice_hole,5
111.93,217.63,kelp_forest,19
392.79,276.47,corals,19
126.28,214.71,fishing_ground,10
388.32,285.73,abyss,12
121.16,225.4,strong_current,4
391.84,284.6,kelp_forest,18
113.11,205.65,fishing_ground,16
378.87,278.7,island,8
105.37,204.9,rocks,4
376.85,274.5,fishing_ground,12
109.41,199.65,island,2
393.11,306.6,island,4
100.45,195.89,island,5
407.98,303.72,kelp_forest,3
113.86,189.33,strong_current,9
388.96,317.11,strong_current,18
118.97,214.73,fishing_ground,11
380.19,309.06,kelp_forest,3
114.02,213.2,fishing_ground,2
380.57,309.74,rocks,9
127.46,199.1,corals,14
376.75,320.84,island,4
114.57,190.87,corals,9
388.59,298.11,kelp_forest,13
118.39,193.53,corals,18
379.5,310.77,ice_hole,15
107.63,179.97,strong_current,10
378.74,320.54,strong_current,16
121.39,185.81,strong_current,12
381.57,322.02,ice_hole,5
124.76,183.6,fishing_ground,2
386.08,317.18,danger,10
98.45,174.74,rocks,1
382.94,333.82,rocks,7
139.76,188.03,corals,17
391.3,347.85,kelp_forest,16
124.73,173.38,kelp_forest,3
369.06,339.21,strong_current,14
126.44,184.2,rocks,10
383.59,328.69,strong_current,7
121.33,169.57,kelp_forest,17
378.55,343.99,danger,6
138.03,173.95,island,4
366.96,330.13,island,17
117.15,150.52,corals,9
378.95,342.87,corals,4
131.73,159.23,kelp_forest,7
380.31,355.01,fishing_ground,2
134.2,157.77,abyss,17
365.04,346.7,rocks,8
134.59,154.25,island,15
358.55,353.18,strong_current,15
130.41,162.93,rocks,8
370.88,354.61,island,16
131.19,142.27,fishing_ground,19
385.73,359.56,rocks,11
120.05,144.63,kelp_forest,2
358.5,345.1,fishing_ground,17
129.94,140.31,corals,16
355.41,359.97,abyss,15
134.3,133.41,rocks,13
348.33,371.91,danger,15
147.85,128.96,fishing_ground,4
352.89,369.51,kelp_forest,16
144.92,131.84,corals,12
351.84,369.03,ice_hole,4
139.91,134.05,danger,3
367.1,359.79,kelp_forest,17
155.24,129.87,corals,18
336.0,391.57,strong_current,18
133.72,113.29,rocks,17
357.58,374.7,rocks,12
147.78,132.8,danger,4
333.55,379.88,strong_current,12
162.68,127.0,danger,15
345.99,360.54,kelp_forest,16
158.54,124.04,abyss,5
348.8,375.75,danger,15
148.39,119.54,abyss,17
326.94,383.77,corals,18
173.82,133.06,abyss,5
326.14,390.45,kelp_forest,13
154.01,111.96,corals,19
327.01,376.26,ice_hole,13
182.55,111.76,corals,18
336.45,396.66,fishing_ground,14
176.26,108.18,island,4
331.55,388.22,ice_hole,4
166.58,102.4,island,19
332.33,398.26,rocks,13
161.82,110.85,island,12
316.3,406.51,abyss,7
182.22,95.42,kelp_forest,12
311.64,401.86,fishing_ground,4
177.82,100.36,island,2
318.26,398.88,abyss,2
177.99,102.61,corals,5
301.71,404.43,danger,10
180.04,101.85,ice_hole,10
307.51,394.98,strong_current,9
188.88,90.51,fishing_ground,13
311.74,415.84,corals,7
193.38,92.92,abyss,5
302.94,408.5,kelp_forest,10
197.36,100.92,danger,10
293.47,411.18,strong_current,6
182.84,95.6,island,19
284.77,415.83,strong_current,8
195.69,74.42,rocks,1
293.54,406.98,island,17
208.23,92.17,strong_current,7
291.3,422.15,strong_current,14
207.47,87.88,fishing_ground,17
298.93,407.07,danger,9
203.56,80.17,island,17
292.04,420.91,ice_hole,5
218.95,83.34,ice_hole,8
277.78,415.61,strong_current,6
215.03,88.21,ice_hole,11
278.66,395.92,kelp_forest,19
209.62,97.03,kelp_forest,4
269.37,412.61,abyss,18
212.76,83.39,abyss,1
277.56,406.71,danger,13
213.07,77.7,abyss,14
269.98,428.56,rocks,1
233.5,66.29,danger,11
273.74,428.55,ice_hole,17
227.35,77.04,corals,4
279.09,424.84,strong_current,12
247.59,82.77,strong_current,10
264.13,425.24,kelp_forest,6
220.61,71.48,rocks,1
266.72,420.33,fishing_ground,7
225.28,66.76,danger,16
267.36,426.84,corals,14
251.91,87.93,kelp_forest,6
265.94,411.53,danger,5
249.66,70.56,ice_hole,18
247.94,423.25,abyss,15
248.26,76.48,strong_current,6
243.28,430.83,kelp_forest,19
261.36,73.9,fishing_ground,1
248.3,423.11,fishing_ground,1
259.02,82.01,rocks,13
235.23,429.93,kelp_forest,3
279.19,77.97,rocks,10
242.64,426.46,rocks,3
254.59,80.72,fishing_ground,9
229.68,421.52,corals,8
274.79,68.89,island,3
224.35,430.81,abyss,13
274.46,63.44,danger,6
232.29,426.52,rocks,13
253.64,72.05,danger,12
221.87,416.73,danger,13
278.75,68.2,kelp_forest,2
216.39,425.0,abyss,16
284.65,81.04,danger,6
219.73,421.31,kelp_forest,19
287.15,82.39,corals,13
209.61,425.61,corals,17
293.79,83.28,island,9
208.77,421.03,fishing_ground,17
291.85,75.05,rocks,2
196.68,426.74,ice_hole,19
287.05,74.69,danger,19
193.08,429.88,kelp_forest,7
302.11,62.6,rocks,10
197.37,438.39,strong_current,10
294.74,82.27,kelp_forest,9
198.32,421.64,island,17
315.87,74.24,fishing_ground,15
187.15,416.69,corals,2
300.31,82.33,strong_current,4
182.98,427.27,strong_current,19
319.64,78.22,kelp_forest,17
187.11,427.06,kelp_forest,5
312.39,74.63,danger,7
189.44,412.91,ice_hole,18
329.53,91.93,corals,7
172.43,421.96,danger,17
320.5,90.41,kelp_forest,7
169.82,412.29,corals,4
325.39,77.75,kelp_forest,8
175.48,414.1,abyss,13
334.34,79.55,strong_current,4
171.57,419.13,fishing_ground,6
339.21,81.26,ice_hole,5
172.98,406.9,island,12
332.56,87.78,kelp_forest,4
161.8,404.9,corals,9
329.59,78.0,danger,4
148.65,411.69,corals,19
345.05,79.82,corals,14
155.22,413.84,ice_hole,5
348.25,83.43,rocks,18
146.29,395.18,kelp_forest,10
349.97,91.3,rocks,19
153.87,407.03,ice_hole,12
353.32,97.38,ice_hole,18
152.64,405.46,danger,17
363.17,90.49,ice_hole,11
142.15,406.68,danger,3
355.42,103.49,corals,17
141.52,394.24,kelp_forest,1
362.53,99.08,strong_current,15
126.64,397.46,strong_current,9
371.22,103.22,corals,15
122.46,395.87,abyss,3
367.47,103.67,corals,19
126.79,398.38,corals,13
386.61,100.15,rocks,12
120.07,396.75,strong_current,1
375.37,114.35,fishing_ground,17
124.55,399.29,rocks,13
374.32,99.17,kelp_forest,1
119.96,387.41,ice_hole,10
390.2,102.47,corals,15
113.02,373.33,abyss,7
392.2,115.88,island,18
113.18,381.61,ice_hole,16
386.02,119.09,corals,14
107.73,383.74,ice_hole,18
390.74,126.41,strong_current,7
105.43,379.0,ice_hole,17
396.32,137.43,corals,18
106.03,377.71,rocks,12
400.92,134.46,strong_current,8
88.03,361.79,fishing_ground,2
400.62,134.58,rocks,7
89.99,369.93,abyss,4
402.45,120.85,abyss,18
94.22,370.16,strong_current,6
411.3,131.82,kelp_forest,9
92.05,368.12,corals,9
410.37,141.1,danger,14
93.47,355.14,danger,8
417.63,143.98,rocks,19
86.48,359.51,island,3
414.63,148.52,strong_current,18
84.63,355.51,ice_hole,5
414.04,142.77,strong_current,14
78.5,353.58,kelp_forest,4
408.28,148.57,danger,7
74.71,347.23,ice_hole,12
413.03,148.88,strong_current,2
83.34,341.48,kelp_forest,11
424.55,152.35,strong_current,14
74.62,347.15,danger,16
422.59,156.97,fishing_ground,6
73.14,345.41,abyss,4
424.19,160.03,rocks,15
71.66,330.94,island,1
431.29,166.91,kelp_forest,7
64.9,331.07,kelp_forest,12
428.26,166.53,rocks,10
